estadio;equipo_local;id_territorio;ciudad;barrio
CAMP DE FUTBOL MPAL. DE SANTA EULÀLIA DE RIUPRIMER;VIC RIUPRIMER REFO FUTBOL CLUB A;Santa Eulàlia de Riuprimer;Santa Eulàlia de Riuprimer;Santa Eulàlia de Riuprimer
No especificado;ESPLUGUENC, C.F.A. B;Esplugues de Llobregat;Esplugues de Llobregat;Esplugues de Llobregat
CAMP DE FUTBOL COL·LEGI TURÓ;AURA-TURO, C.E.  A;Desconocido;Desconocido;Desconocido
CAMP DE FUTBOL MPAL. DE LA CANYA;LA CANYA, A.E. A;la Canya;la Canya;la Canya
No especificado;PENYA ESPORTIVA MONTAGUT A;Montagut i Oix;Montagut i Oix;Montagut i Oix
CAMP DE FUTBOL MPAL. DE SANT ESTEVE D´EN BAS;VALL D'EN BAS CLUB FUTBOL A;Sant Esteve de la Sarga;Sant Esteve de la Sarga;Sant Esteve de la Sarga
CAMP DE FUTBOL MPAL. CAN BATLLE;CLUB FUTBOL DOSRIUS 2010 A;Dosrius;Dosrius;Dosrius
CAMP DE FUTBOL MPAL. DE SANT ESTEVE D´EN BAS;VALL D'EN BAS CLUB FUTBOL B;Sant Esteve de la Sarga;Sant Esteve de la Sarga;Sant Esteve de la Sarga
No especificado;VILASSAR DALT-GIATSU, C.E. B;Vilassar de Dalt;Vilassar de Dalt;Vilassar de Dalt
CAMP DE FUTBOL MPAL. DE SANT JULIÀ DE LLOR I BONMATÍ;BONMATI, C.F. A;Sant Julià de Cerdanyola;Sant Julià de Cerdanyola;Sant Julià de Cerdanyola
No especificado;FUNDACIO  F. VILANOVA I LA GELTRÚ A;Vilanova d'Escornalbou;Vilanova d'Escornalbou;Vilanova d'Escornalbou
CAMP DE FUTBOL MPAL. DE LA RIERA DE GAIÀ;LA RIERA, C.F. A;Gaià;Gaià;Gaià
CAMP DE FUTBOL MPAL. DE BÀSCARA;BASCARA, F.C. A;Bàscara;Bàscara;Bàscara
CAMP DE FUTBOL MPAL. DE CREIXELL;UNIÓ ESPORTIVA CREIXELL A;Creixell;Creixell;Creixell
CAMP DE FUTBOL MPAL. DE LA PALMA DE CERVELLÓ;LA PALMA CERVELLO, U.E. A;Cervelló;Cervelló;Cervelló
CAMP DE FUTBOL MPAL. CAN FATJÓ;OLIMPIC CAN FATJO, C.E. A;Cornellà de Llobregat 2 (Fontsanta - Fatjó);Cornellà de Llobregat;Fontsanta - Fatjó
CAMP DE FUTBOL MPAL. DE SANT HIPÒLIT DE VOLTREGÀ;VOLTREGA,C.F. A;Sant Hipòlit de Voltregà;Sant Hipòlit de Voltregà;Sant Hipòlit de Voltregà
CAMP DE FUTBOL MPAL. JOSEP FERRÉ FARRIOL;LA GRANADA, C.F. A;Granada, la;La Granada;La Granada
