estadio;equipo_local;id_territorio;ciudad;barrio
CAMP DE FUTBOL MPAL. PERE SERVIÀ CANTÓ;PALS, AT A;Pals;Pals;Pals
CAMP DE FUTBOL MPAL. MARIANAO;MARIANAO POBLET UD B;Santa Maria d'Oló;Santa Maria d'Oló;Santa Maria d'Oló
CAMP DE FUTBOL CEM LA GUINEUETA;ESCOLA ESPORTIVA GUINEUETA C.F  A;Barcelona 135 (la Guineueta);Barcelona;la Guineueta
CAMP DE FUTBOL MPAL. PROVENÇANA;FUNDACIO ESPORT.HOSPITALET AT A;Hospitalet de Llobregat, l';L'Hospitalet de Llobregat;L'Hospitalet de Llobregat
CAMP DE FUTBOL CEM CAN DRAGO;ALZAMORA, C.F.  C;Barcelona 130 (Can Dragó);Barcelona;Can Dragó
CAMP DE FUTBOL MPAL. TURÓ DE LA PEIRA;LA BOMBONERA , C.D. A;Barcelona 133 (el Turó de la Peira i Can Peguera);Barcelona;el Turó de la Peira i Can Peguera
CAMP DE FUTBOL MPAL. LA BARRUANA;Pª BARC. SANT VICENÇ HORTS A;Sant Vicenç de Castellet;Sant Vicenç de Castellet;Sant Vicenç de Castellet
CAMP DE FUTBOL ESCOLA INDUSTRIAL;L'ESQUERRA DE L'EIXAMPLE, F.C. A;Barcelona 35 (l'Escola Industrial);Barcelona;l'Escola Industrial
CAMP DE FUTBOL MPAL. CARMEL;FORZA BARCELONA FOOTBALL CLUB A;Barcelona 118 (el Baix Carmel);Barcelona;el Baix Carmel
CAMP DE FUTBOL MPAL. EL PONT DE VILOMARA;VILOMARA,C.F. A;Pont d'Armentera, el;El Pont d'Armentera;El Pont d'Armentera
CAMP DE FUTBOL MPAL. DE CAMPDEVÀNOL;RIBETANA C.F. A;Campdevànol;Campdevànol;Campdevànol
CAMP DE FUTBOL MPAL. DE BONAVISTA;BONAVISTA, C. A;Tarragona;Tarragona;Tarragona
CAMP DE FUTBOL MPAL. ANTONI SERRA I PUJOL;BARBERÀ CLUB DE FUTBOL A;Barberà de la Conca;Barberà de la Conca;Barberà de la Conca
CAMP DE FUTBOL MPAL. TORRE-ROJA;SECTOR MONTSERRATINA U.D. B;Serra de Daró;Serra de Daró;Serra de Daró
CAMP DE FUTBOL MPAL. DE GARDENY;GARDENY, U.D. A;Desconocido;Desconocido;Desconocido
CAMP DE FUTBOL MPAL. DE SALT;PENYA BONS AIRES E B;Salt;Salt;Salt
No especificado;LES BORGES DEL CAMP, C.D. A;Borges Blanques, les;Les Borges Blanques;Les Borges Blanques
CAMP DE FUTBOL MPAL. SERGIO BUSQUETS BURGOS;MERCANTIL, C.E C;Desconocido;Desconocido;Desconocido
CAMP DE FUTBOL CEM FORT-PIENC;ESCOLA FUTBOL ALMOGÀVERS B;Barcelona 15 (el Fort Pienc);Barcelona;el Fort Pienc
CAMP DE FUTBOL CEM CAN CARALLEU;SARRIÀ, C.P. B;Sarrià de Ter;Sarrià de Ter;Sarrià de Ter
CAMP DE FUTBOL MPAL. DE LA BORDETA;VILANOVETA DE LLEIDA CF B;Lleida;Lleida;Lleida
CAMP DE FUTBOL MPAL. DE SANTA OLIVA;BELLVEI, AT. A;Bellvei;Bellvei;Bellvei
CAMP DE FUTBOL MPAL. DE LA BORDETA;BORDETA DE LLEIDA, U.E. C;Lleida;Lleida;Lleida
CAMP DE FUTBOL MPAL. FRANCESC SERRACANTA;ASS.ESP.F.BASE PALAU 2024,  B;Palau d'Anglesola, el;El Palau d'Anglesola;El Palau d'Anglesola
CAMP DE FUTBOL MPAL. C.F.CAPELLADES;CAPELLADES, C.F. B;Capellades;Capellades;Capellades
CAMP DE FUTBOL CEM LA FANECADA;ALCANAR, C.D. A;Alcanar;Alcanar;Alcanar
CAMP DE FUTBOL CEM DE LA SÉNIA;LA SENIA, C.F. B;Sénia, la;La Sénia;La Sénia
CAMP DE FUTBOL IEM DEL VILAR;VALLS U.E. B;Valls;Valls;Valls
CAMP DE FUTBOL MPAL. DE MASQUEFA;MASQUEFA, F.C. A;Masquefa;Masquefa;Masquefa
CAMP DE FUTBOL MPAL. DE SANTA MARGARIDA I ELS MONJOS;MONJOS, A.D. A;Santa Margarida de Montbui;Santa Margarida de Montbui;Santa Margarida de Montbui
CAMP DE FUTBOL CIUTAT ESPORTIVA GIMNÀSTIC DE TARRAGONA 1 2 Camps;GIMNASTIC TARRAGONA, C. C;Tarragona;Tarragona;Tarragona
CAMP DE FUTBOL MPAL. DE BELLPUIG;ESCOLA DE FUTBOL MASCANÇA A;Bellpuig;Bellpuig;Bellpuig
CAMP DE FUTBOL MPAL. DE VALLMOLL;VALLMOLL C.D. B;Vallmoll;Vallmoll;Vallmoll
CAMP DE FUTBOL MPAL. DE CUNIT;CUNIT, C.F. A;Cunit;Cunit;Cunit
CAMP DE FUTBOL MPAL. JOSEP SUNYER I ARXER;SANT FELIU DE GUIXOLS C.F. B;Sant Feliu de Buixalleu;Sant Feliu de Buixalleu;Sant Feliu de Buixalleu
CAMP DE FUTBOL MPAL. AITANA BONMATÍ CONCA;RIBES, C.D. B;Conca de Dalt;Conca de Dalt;Conca de Dalt
CAMP DE FUTBOL ZEM TOMÀS CLARAMUNT (Abans la Muntanyeta);CALELLA, C.F.  B;Alella;Alella;Alella
CAMP DE FUTBOL MPAL. NOU DE BANYOLES;BANYOLES, C.E. C;Banyoles;Banyoles;Banyoles
CAMP DE FUTBOL MPAL. CAN PARELLADA;CAN PARELLADA, C.D. B;Desconocido;Desconocido;Desconocido
CAMP DE FUTBOL MPAL. DELS PALLARESOS;BASE 2012 PALLARESOS CLUB B;Pallaresos, els;Els Pallaresos;Els Pallaresos
CAMP DE FUTBOL MPAL. PUBILLA CASAS;FUNDACIÓ ACADEMIA F. L'HOSPITALET A;Hospitalet de Llobregat, l';L'Hospitalet de Llobregat;L'Hospitalet de Llobregat
CAMP DE FUTBOL MPAL. ICOMAR;ICOMAR, C.F. A;Desconocido;Desconocido;Desconocido
CAMP DE FUTBOL MPAL. JOSEP COSTA;AMETLLA VALLES, C.F. B;Ametlla de Mar, l';L'Ametlla de Mar;L'Ametlla de Mar
No especificado;CARDEDEU, F.C. C;Cardedeu;Cardedeu;Cardedeu
CAMP DE FUTBOL MPAL. DE L´HOSPITALET LLOBREGAT;L'HOSPITALET, CENTRE ESPORTS E;Hospitalet de Llobregat, l';L'Hospitalet de Llobregat;L'Hospitalet de Llobregat
CAMP DE FUTBOL MPAL. PERE GOL;FUNDACIÓ FUTBOL BADALONA B;Badalona;Badalona;Badalona
CAMP DE FUTBOL CEM FORT-PIENC;GÒTIC, F.C A;Barcelona 15 (el Fort Pienc);Barcelona;el Fort Pienc
CAMP DE FUTBOL MPAL. 1ER. DE MAIG;VALLES, C.AT. C;Granollers;Granollers;Granollers
CAMP DE FUTBOL CEM CAN DRAGO;ALZAMORA, C.F.  B;Barcelona 130 (Can Dragó);Barcelona;Can Dragó
CAMP DE FUTBOL MPAL. TRINITAT VELLA;TRINIDAD, C.D. A;Barcelona 147 (la Trinitat Vella);Barcelona;la Trinitat Vella
CAMP DE FUTBOL ZEM LA CRIVELLERA;RIBES, C.D. B;Ribes de Freser;Ribes de Freser;Ribes de Freser
CAMP DE FUTBOL ESCOLA INDUSTRIAL;CATALÒNIA, U.B. A;Barcelona 35 (l'Escola Industrial);Barcelona;l'Escola Industrial
CAMP DE FUTBOL MPAL. DE VALLIRANA;VALLIRANA C.F. B;Vallirana;Vallirana;Vallirana
CAMP DE FUTBOL COL·LEGI PARE MANYANET DE REUS;PARE MANYANET, A.E. C;Reus;Reus;Reus
CAMP DE FUTBOL MPAL. ALMEDA;COL.LEGI SAGRAT COR SARRIA AMPA B;Cornellà de Llobregat 9 (Almeda);Cornellà de Llobregat;Almeda
CAMP DE FUTBOL MPAL. ANTONI SERRA I PUJOL;BARBERÀ CLUB DE FUTBOL C;Barberà de la Conca;Barberà de la Conca;Barberà de la Conca
CAMP DE FUTBOL ZEM BUFALÀ;BUFALÀ, C.F. C;Badalona 25 (Bufalà Oest - sector Can Barriga);Badalona;Bufalà Oest - sector Can Barriga
CAMP DE FUTBOL MPAL. DE PREMIÀ DE DALT;PREMIA DALT, C.D. C;Premià de Dalt;Premià de Dalt;Premià de Dalt
CAMP DE FUTBOL MPAL. DE CORRÓ D´AVALL;LES FRANQUESES, C.F. C;Franqueses del Vallès, les;Les Franqueses del Vallès;Les Franqueses del Vallès
No especificado;CAN VIDALET, C.F. D;Esplugues de Llobregat 2 (Can Vidalet);Esplugues de Llobregat;Can Vidalet
CAMP DE FUTBOL ESCOLA CAMP JOLIU;BASE MARC BARTRA CF A;Desconocido;Desconocido;Desconocido
CAMP DE FUTBOL MPAL. CAN PUIGGENER;ARISTOI FOOTBALL ACADEMY B;Desconocido;Desconocido;Desconocido
No especificado;VILANOVA GELTRU C.F. A;Vilanova d'Escornalbou;Vilanova d'Escornalbou;Vilanova d'Escornalbou
CAMP DE FUTBOL MPAL. JOAN BAPTISTA MILÀ;SANTBOIA, F.C. B;Milà, el;El Milà;El Milà
No especificado;CASTELLDEFELS, U.E. B;Castell d'Aro, Platja d'Aro i s'Agaró;Castell d'Aro, Platja d'Aro i s'Agaró;Castell d'Aro, Platja d'Aro i s'Agaró
CAMP DE FUTBOL MPAL. TEIXONERA;DIAGONAL CLUB ESP. A;Barcelona 73 (Pedralbes, la Mercè i el Palau Reial);Barcelona;Pedralbes, la Mercè i el Palau Reial
No especificado;MARINA ATLÉTICO CLUB A;Desconocido;Desconocido;Desconocido
CAMP DE FUTBOL CEM JÚPITER;INTER BARCELONA  A;Barcelona;Barcelona;Barcelona
CAMP DE FUTBOL MPAL. MENORCA;PARC, U.D. A;Desconocido;Desconocido;Desconocido
CAMP DE FUTBOL MPAL. CASABLANCA;CASABLANCA , F.C. B;Desconocido;Desconocido;Desconocido
CAMP DE FUTBOL MPAL. PARC CATALANA;DARNA 2019, FC. A;Desconocido;Desconocido;Desconocido
CAMP DE FUTBOL MPAL. DE SANTA BÀRBARA;GODALL, F.C. A;Godall;Godall;Godall
CAMP DE FUTBOL MPAL. DE CORNELLÀ DE LLOBREGAT;FUNDACIO UNIO ESPORTIVA CORNELLA C;Cornellà de Llobregat;Cornellà de Llobregat;Cornellà de Llobregat
CAMP DE FUTBOL MPAL. CAN PUIGGENER;OAR GRÀCIA SBD E.F. B;Sabadell 18 (Gràcia);Sabadell;Gràcia
CAMP DE FUTBOL MPAL. POBLE NOU;PUEBLO NUEVO-2002, C.F.;Nou de Berguedà, la;La Nou de Berguedà;La Nou de Berguedà
No especificado;FUNDACIO E. ATLETIC VILAFRANCA  B;Vilafranca del Penedès;Vilafranca del Penedès;Vilafranca del Penedès
CAMP DE FUTBOL ESCOLA PIA DE SARRIÀ;DAUMAR , ASSOCIACIO CLUB  B;Sarrià de Ter;Sarrià de Ter;Sarrià de Ter
CAMP DE FUTBOL COL·LEGI XALOC;LES CORTS DE BARCELONA CLUB ESP. A;Hospitalet de Llobregat 26 (Santa Eulàlia - Centre Sud - Ciutat de la Justícia), l';Hospitalet de Llobregat;Santa Eulàlia - Centre Sud - Ciutat de la Justícia
CAMP DE FUTBOL CEM CAN DRAGO;ALZAMORA, C.F. B;Barcelona 130 (Can Dragó);Barcelona;Can Dragó
CAMP DE FUTBOL CEM MARESME;POBLE NOU, AT. B;Barcelona 180 (el Maresme i el Maresme Vell);Barcelona;el Maresme i el Maresme Vell
CAMP DE FUTBOL CEM FORT-PIENC;ESCOLA FUTBOL ALMOGAVERS A;Barcelona 15 (el Fort Pienc);Barcelona;el Fort Pienc
CAMP DE FUTBOL MPAL. IBERIA;COL.LEGI SAGRAT COR SARRIÀ AMPA A;Sarrià de Ter;Sarrià de Ter;Sarrià de Ter
CAMP DE FUTBOL MPAL. VERNTALLAT;JOANETES,C.F. A;Desconocido;Desconocido;Desconocido
CAMP DE FUTBOL MPAL. DE PORTBOU;PORTBOU, C.E. A;Portbou;Portbou;Portbou
CAMP DE FUTBOL CE DE L´ENERGIA;SANTS, U.E. C;Barcelona 62 (Santa Maria de Sants);Barcelona;Santa Maria de Sants
CAMP DE FUTBOL CEM SAGNIER;PRAT, A.E. A;Prat de Comte;Prat de Comte;Prat de Comte
CAMP DE FUTBOL CEM JÚPITER;JÚPITER, C.E. A;Desconocido;Desconocido;Desconocido
CAMP DE FUTBOL CEM SAGNIER;FUNDACIO PRIVADA ASSOC. ESP. PRAT  B;Prat de Comte;Prat de Comte;Prat de Comte
CAMP DE FUTBOL MPAL. IBERIA;IBERIA, C. AT. A;Desconocido;Desconocido;Desconocido
CAMP DE FUTBOL MPAL. LA BALCONADA;BALCONADA, U.E. B;Manresa 9 (les Escodines - la Balconada - Cal Gravat - Sant Pau);Manresa;les Escodines - la Balconada - Cal Gravat - Sant Pau
CAMP DE FUTBOL CEM BESÒS-TRAJANA;SANT ADRIA, CF. A;Barcelona 179 (el Besòs);Barcelona;el Besòs
No especificado;VILAFRANCA, F.C. A;Vilafranca del Penedès;Vilafranca del Penedès;Vilafranca del Penedès
CAMP DE FUTBOL MPAL. DE VILABELLA;VILABELLA, ATLETIC A;Abella de la Conca;Abella de la Conca;Abella de la Conca
CAMP DE FUTBOL MPAL. DE TORREGROSSA;TORREGROSSA, AT. A;Torre de Cabdella, la;La Torre de Cabdella;La Torre de Cabdella
CAMP DE FUTBOL MPAL. DE LES COTS;FONT DELS CAPELLANS, CLUB DE FUTBOL A;Desconocido;Desconocido;Desconocido
CAMP DE FUTBOL MPAL. SANT GENÍS;SANT GENÍS-PENITENTES, C.D. B;Barcelona 120 (Sant Genís dels Agudells);Barcelona;Sant Genís dels Agudells
CAMP DE FUTBOL CEM FORT-PIENC;PARC, U.D. A;Barcelona 15 (el Fort Pienc);Barcelona;el Fort Pienc
CAMP DE FUTBOL MPAL. CA N´ORIAC;SABADELL NORD,CF. B;Sabadell 10 (Ca n'Oriac - Torreguitart - Torrent del Capellà);Sabadell;Ca n'Oriac - Torreguitart - Torrent del Capellà
CAMP DE FUTBOL MPAL. SANTA AGNÈS;SANTA AGNES,C.F.  A;Desconocido;Desconocido;Desconocido
CAMP DE FUTBOL ZEM CAN JOFRESA;UNIO F. BASE JABAC I TERRASSA  A;Terrassa 9 (Can Jofresa - Can Palet II - Guadalhorce - Xúquer);Terrassa;Can Jofresa - Can Palet II - Guadalhorce - Xúquer
CAMP DE FUTBOL ESCOLA ESPORTIVA BRAFA;ESCOLA E.BRAFA C;Barcelona 142 (Santa Engràcia);Barcelona;Santa Engràcia
CAMP DE FUTBOL MPAL. D'ALBONS;BASE L'EMPORDANET,CF. A;Albons;Albons;Albons
CAMP DE FUTBOL MPAL. DE PIERA;PIERA, A.E. B;Piera;Piera;Piera
No especificado;PENYA ESPORTIVA MONTAGUT B;Montagut i Oix;Montagut i Oix;Montagut i Oix
CAMP DE FUTBOL PARROQUIA DE SANT PERE MOLANTA;SANT PERE MOLANTA, C.F.P. A;Sant Pere de Ribes;Sant Pere de Ribes;Sant Pere de Ribes
No especificado;FORTIA, C.E.;Fortià;Fortià;Fortià
CAMP DE FUTBOL CLUB NATACIÓ TERRASSA;NATACIO TERRASSA, C C;Terrassa;Terrassa;Terrassa
CAMP DE FUTBOL MPAL. DE SANT PAU D´ORDAL;SANT PAU D'ORDAL, U.E. A;Sant Pau de Segúries;Sant Pau de Segúries;Sant Pau de Segúries
No especificado;RAMON SICART, A.E. B;Sant Ramon;Sant Ramon;Sant Ramon
CAMP DE FUTBOL MPAL. DE BELL-LLOC D´URGELL;BELL-LLOC ATHLETIC CLUB A;Bell-lloc d'Urgell;Bell-lloc d'Urgell;Bell-lloc d'Urgell
CAMP DE FUTBOL MPAL. DE BENAVENT DE SEGRIÀ;BENAVENT DE SEGRIA CE. A;Benavent de Segrià;Benavent de Segrià;Benavent de Segrià
CAMP DE FUTBOL MPAL. DE SEGUR DE CALAFELL;SEGUR ATHLETIC C.F. A;Calaf;Calaf;Calaf
CAMP DE FUTBOL MPAL. ALMEDA;ALMEDA, C.D. C;Cornellà de Llobregat 9 (Almeda);Cornellà de Llobregat;Almeda
CAMP DE FUTBOL MPAL. DE LA NOU DE GAIÀ;LA NOU DE GAIA , CLUB U.E.  A;Gaià;Gaià;Gaià
CAMP DE FUTBOL MPAL. LES FORQUES;LA JONQUERA, U.E. B;Jonquera, la;La Jonquera;La Jonquera
CAMP DE FUTBOL MPAL. CAN SORTS;ESCOLA F. BASE SENTMENAT A;Sentmenat;Sentmenat;Sentmenat
CAMP DE FUTBOL CEM CIUTAT MERIDIANA-TORRENT BOSC;UNIFICACIÓ CIUTAT MERIDIANA,CE A;Barcelona 146 (Torre Baró, Ciutat Meridiana i Vallbona);Barcelona;Torre Baró, Ciutat Meridiana i Vallbona
CAMP DE FUTBOL ZEM LES FONTETES;CERDANYOLA VALLES, F.C. B;Cerdanyola del Vallès;Cerdanyola del Vallès;Cerdanyola del Vallès
CAMP DE FUTBOL MPAL. DE CUNIT;BASE MARC BARTRA CF A;Cunit;Cunit;Cunit
CAMP DE FUTBOL MPAL. DE FIGARÓ-MONTMANY;FIGARÓ, CE A;Figaró-Montmany;Figaró-Montmany;Figaró-Montmany
No especificado;PREMIA CLUB ESP. B;Premià de Dalt;Premià de Dalt;Premià de Dalt
CAMP DE FUTBOL MPAL. DE BANYERES DEL PENEDÈS;BANYERES, C.F. A;Banyeres del Penedès;Banyeres del Penedès;Banyeres del Penedès
CAMP DE FUTBOL CLUB GIMNÀSTIC PARC;GIMNASTIC MANRESA C. A;Manresa;Manresa;Manresa
CAMP DE FUTBOL MPAL. NOVA CIUTAT ESPORTIVA BLANES;CAL AGUIDO, A.D. A;Blanes;Blanes;Blanes
CAMP DE FUTBOL CEM MUNDET (1);MONTBAU, U.D. A;Desconocido;Desconocido;Desconocido
CAMP DE FUTBOL COL·LEGI LA FARGA;LA FARGA XXI, CE A;Sant Cugat del Vallès;Sant Cugat del Vallès;Sant Cugat del Vallès
CAMP DE FUTBOL MPAL. ZONA SUD;MOLLETENSE, U.D. B;Mollet de Peralada;Mollet de Peralada;Mollet de Peralada
CAMP DE FUTBOL MPAL. D´ESPARREGUERA;ESPARREGUERA, C.E. B;Esparreguera;Esparreguera;Esparreguera
CAMP DE FUTBOL MPAL. LA GRAVA;AVINYONET, U.E. A;Avinyó;Avinyó;Avinyó
CAMP DE FUTBOL CEM LA BASCULA EMILIO FERNANDEZ F11;ESCOLA F ANGEL PEDRAZA B;Barcelona 51 (la Mare de Déu de Port, Can Clos i el Polvorí);Barcelona;la Mare de Déu de Port, Can Clos i el Polvorí
CAMP DE FUTBOL CEM DE CABRILS;CABRILS, C.E. C;Cabrils;Cabrils;Cabrils
Camp de Futbol MPAL. DE BALÀFIA MANUEL LORITE;BALAFIA, C.F.U.E. A;Lleida 1 (Balàfia);Lleida;Balàfia
CAMP DE FUTBOL MPAL. EL XOPERAL;ESCOLA DE FUTBOL BAIX SEGRIA B;Baix Pallars;Baix Pallars;Baix Pallars
CAMP DE FUTBOL MPAL. TEIXONERA;ESCOLA DE FUTBOL STOITCHKOV-RACING SARRIA  A;Sarrià de Ter;Sarrià de Ter;Sarrià de Ter
CAMP DE FUTBOL MPAL. FRANCESC SERRACANTA;PALAU SOLITA I PLEGAMANS,F.C. A;Palau d'Anglesola, el;El Palau d'Anglesola;El Palau d'Anglesola
CAMP DE FUTBOL COL·LEGI VIARÓ;PERICOS DE SANT CUGAT  A;Sant Cugat del Vallès 9 (Can Sant Joan - Sant Mamet - Vullpalleres - Can Barata - Sector Nord - Can Graells);Sant Cugat del Vallès;Can Sant Joan - Sant Mamet - Vullpalleres - Can Barata - Sector Nord - Can Graells
CAMP DE FUTBOL CE DE L´ENERGIA;SANTS, U.E. D;Barcelona 62 (Santa Maria de Sants);Barcelona;Santa Maria de Sants
CAMP DE FUTBOL MPAL. NARCÍS SALA;SANT ANDREU, U.E C;Sant Andreu de la Barca;Sant Andreu de la Barca;Sant Andreu de la Barca
CAMP DE FUTBOL MPAL. JOSEP PONS I VENTURA;CUBELLES, C.F. C;Cubelles;Cubelles;Cubelles
CAMP DE FUTBOL MPAL. TORRE-ROJA;ATHLETIC VILADECANS FUTBOL CLUB B;Torre de Cabdella, la;La Torre de Cabdella;La Torre de Cabdella
CAMP DE FUTBOL MPAL. LA FLORESTA;LA FLORESTA, C.D. B;Floresta, la;La Floresta;La Floresta
CAMP DE FUTBOL MPAL. TRINITAT VELLA;TORRE FUERTE CERVELLO, FUTBOL CLUB  A;Barcelona 147 (la Trinitat Vella);Barcelona;la Trinitat Vella
CAMP DE FUTBOL CEM MARINA BESÒS JOSÉ LUIS RUIZ CASADO;HAILUKONG BARCELONA CLUB FUTBOL A;Barcelona 179 (el Besòs);Barcelona;el Besòs
CAMP DE FUTBOL CEM CAN ZAM (1);INSPIRE SOCCER,F.C. A;Desconocido;Desconocido;Desconocido
CAMP DE FUTBOL MPAL. POBLE NOU;PUEBLO NUEVO-2002, C.F. C;Nou de Berguedà, la;La Nou de Berguedà;La Nou de Berguedà
No especificado;HOSPITALENSE, AT.C. E;Hospitalet de Llobregat 3 (Centre - la Farga), l';Hospitalet de Llobregat;Centre - la Farga
CAMP DE FUTBOL CEM LA GUINEUETA;ESCOLA ESPORTIVA GUINEUETA C.F B;Barcelona 135 (la Guineueta);Barcelona;la Guineueta
CAMP DE FUTBOL MPAL. LA FEIXA LLARGA;UNIFICACION BELLVITGE, U.D. D;Hospitalet de Llobregat 29 (Bellvitge - Estació), l';Hospitalet de Llobregat;Bellvitge - Estació
CAMP DE FUTBOL MPAL. VALLBONA (NOU PROVISIONAL);HAILUKONG BARCELONA CLUB FUTBOL A;Barcelona;Barcelona;Barcelona
CAMP DE FUTBOL MPAL. DE CASTELL D´ARO;ARO, C.E. B;Castell d'Aro, Platja d'Aro i s'Agaró;Castell d'Aro, Platja d'Aro i s'Agaró;Castell d'Aro, Platja d'Aro i s'Agaró
CAMP DE FUTBOL MPAL. JOAN CORTIELLA-CAN SERRADOR;CASTELLAR, UNIÓ ESPORTIVA C;Castell d'Aro, Platja d'Aro i s'Agaró;Castell d'Aro, Platja d'Aro i s'Agaró;Castell d'Aro, Platja d'Aro i s'Agaró
CAMP DE FUTBOL MPAL. XEVI RAMON;FUNDACIO  UNIÓ ESPORTIVA VILASSAR  E;Sant Ramon;Sant Ramon;Sant Ramon
CAMP DE FUTBOL MPAL. DEL 25 DE SETEMBRE;JUVENTUD 25 DE SEPTIEMBRE C;Rubí 7 (Districte 5 Nord-est);Rubí;Districte 5 Nord-est
CAMP DE FUTBOL MPAL. LLEFIÀ;UNIFICACION LLEFIA,CF. B;Badalona 13 (Sant Antoni de Llefià);Badalona;Sant Antoni de Llefià
CAMP DE FUTBOL MPAL. DE BADALONA SUD;AZUL Y ORO, F.C.  A;Badalona;Badalona;Badalona
CAMP DE FUTBOL MPAL. MARIANAO;MARIANAO POBLET UD C;Santa Maria d'Oló;Santa Maria d'Oló;Santa Maria d'Oló
CAMP DE FUTBOL MPAL. DE MALGRAT DE MAR;MALGRAT , C.E. B;Malgrat de Mar;Malgrat de Mar;Malgrat de Mar
CAMP DE FUTBOL MPAL. DE TORELLÓ;TORELLO, C.F. C;Torelló;Torelló;Torelló
CAMP DE FUTBOL ZEM TOMÀS CLARAMUNT (Abans la Muntanyeta);CALELLA, C.F. C;Alella;Alella;Alella
CAMP DE FUTBOL CEM MARESME;INTER BARCELONA  A;Barcelona 180 (el Maresme i el Maresme Vell);Barcelona;el Maresme i el Maresme Vell
CAMP DE FUTBOL MPAL. CANYELLES (BCN);BARCELONA DRAGONS CLUB DE FUTBOL A;Barcelona;Barcelona;Barcelona
CAMP DE FUTBOL MPAL. DE SANT FELIU SASSERRA;SANT FELIU SASSERRA,CE A;Sant Feliu de Buixalleu;Sant Feliu de Buixalleu;Sant Feliu de Buixalleu
CAMP DE FUTBOL MPAL. JOAN CORTIELLA-CAN SERRADOR;CASTELLAR, UNIÓ ESPORTIVA B;Castell d'Aro, Platja d'Aro i s'Agaró;Castell d'Aro, Platja d'Aro i s'Agaró;Castell d'Aro, Platja d'Aro i s'Agaró
CAMP DE FUTBOL ZEM DE CORRÓ D´AMUNT;LES FRANQUESES, C.F. A;Franqueses del Vallès, les;Les Franqueses del Vallès;Les Franqueses del Vallès
CAMP DE FUTBOL MPAL. DE BELLVÍS;BELLVIS, C.F. A;Bellvís;Bellvís;Bellvís
CAMP DE FUTBOL MPAL. DE MONT-ROIG DEL CAMP;MONT-ROIG AT. B;Mont-roig del Camp;Mont-roig del Camp;Mont-roig del Camp
CAMP DE FUTBOL ZEM DE VIDRERES;SPORTING-VIDRERENCA, C.E.F B;Vidreres;Vidreres;Vidreres
CAMP DE FUTBOL MPAL. DEL PINELL DE BRAI;PINELL, C.F. A;Pinell de Brai, el;El Pinell de Brai;El Pinell de Brai
CAMP DE FUTBOL MPAL. INDUSTRIAL RIPOLLET;Pª DEP. PAJARIL B;Ripollet 1 (Centre - Maragall);Ripollet;Centre - Maragall
CAMP DE FUTBOL MPAL. GERMANS GONZALVO (2);MOLLET U.E.,CF. A;Mollet de Peralada;Mollet de Peralada;Mollet de Peralada
CAMP DE FUTBOL MPAL. ALBERT TODÓ;BENISSANET, C.D. A;Benissanet;Benissanet;Benissanet
CAMP DE FUTBOL CEM LA BASCULA EMILIO FERNANDEZ F11;ESCOLA F ÀNGEL PEDRAZA B;Barcelona 51 (la Mare de Déu de Port, Can Clos i el Polvorí);Barcelona;la Mare de Déu de Port, Can Clos i el Polvorí
CAMP DE FUTBOL MPAL. LES ROQUETES;Pª JOVE DE LES ROQUETES B;Sant Pere de Ribes;Sant Pere de Ribes;Sant Pere de Ribes
CAMP DE FUTBOL MPAL. DE FLAÇÀ;FLAÇA, C.D. A;Flaçà;Flaçà;Flaçà
CAMP DE FUTBOL MPAL. DE TÉRMENS;ALBESA, C.F. A;Albesa;Albesa;Albesa
CAMP DE FUTBOL MPAL. ALMEDA;COLEGIO ALEMAN S.ALBERTO,A.C. B;Cornellà de Llobregat 9 (Almeda);Cornellà de Llobregat;Almeda
CAMP DE FUTBOL MPAL. DE LA BISBAL DEL PENEDÈS;JOVENTUT BISBALENCA,C.F. A;Bisbal d'Empordà, la;La Bisbal d'Empordà;La Bisbal d'Empordà
No especificado;VISTA ALEGRE,U.D. D;Castelldefels 2 (Vista Alegre - el Castell);Castelldefels;Vista Alegre - el Castell
CAMP DE FUTBOL MPAL. DE GANDESA;GANDESA, C.F. B;Gandesa;Gandesa;Gandesa
CAMP DE FUTBOL MPAL. DEL CAMÍ DE RODA;ESCOLA F. BASE VENDRELL A;Roda de Berà;Roda de Berà;Roda de Berà
CAMP DE FUTBOL ESCOLA INDUSTRIAL;Pª BARC. ANGUERA A;Barcelona 35 (l'Escola Industrial);Barcelona;l'Escola Industrial
CAMP DE FUTBOL MPAL. JOAN GELABERT;LA LLAGOSTA, C.D. B;Llagosta, la;La Llagosta;La Llagosta
CAMP DE FUTBOL MPAL. DE CELRÀ;CELRA, U.C.E. B;Celrà;Celrà;Celrà
CAMP DE FUTBOL MPAL. D´ALGUAIRE;ALGUAIRE, C.E. A;Alguaire;Alguaire;Alguaire
No especificado;ESTACIÓN, C.F. A;Desconocido;Desconocido;Desconocido
CAMP DE FUTBOL MPAL. SANT ILDEFONS;ALBIREX NIIGATA BARCELONA FUTBOL CLUB A;Cornellà de Llobregat 6 (Sant Ildefons Oest);Cornellà de Llobregat;Sant Ildefons Oest
CAMP DE FUTBOL MPAL. DE VILANOVA DE BELLPUIG;VILANOVENCA,U.E A;Bellpuig;Bellpuig;Bellpuig
CAMP DE FUTBOL MPAL. DE TORRELLES DE FOIX;BASE TORRELLES, C.F A;Torre de Cabdella, la;La Torre de Cabdella;La Torre de Cabdella
